GEOID,medrnt12,medrnt12_moe
060014415223,2121.06,NA
060014415231,1767.02,85.86
060014415232,1314.4,809.84
060014415233,2121.06,NA
060014415241,1531.7,242.74
060014415242,2025.66,495.02000000000004
060014416011,2121.06,NA
060014416012,1847.5800000000002,184.44
060014416013,2121.06,NA
060014416021,1419.3400000000001,131.44
060014416022,1804.1200000000001,257.58000000000004
060014416023,1446.9,47.7
060014416024,1575.16,1451.14
060014417001,1610.14,285.14
060014417002,1485.0600000000002,84.80000000000001
060014417003,360.40000000000003,2050.04
060014417004,1447.96,154.76000000000002
060014418001,1764.9,113.42
060014418002,1693.88,292.56
060014418003,1437.3600000000001,276.66
060014418004,2121.06,NA
060014419211,1015.48,790.76
060014419212,2063.82,161.12
060014419231,1460.68,403.86
060014419232,1402.38,117.66000000000001
060014419233,1458.5600000000002,94.34
060014419241,1838.0400000000002,220.48000000000002
060014419242,1860.3000000000002,72.08
060014419243,1030.3200000000002,182.32000000000002
060014419244,1537,235.32000000000002
060014419251,1926.0200000000002,68.9
060014419252,1829.5600000000002,45.580000000000005
060014419261,1297.44,104.94000000000001
060014419262,1478.7,66.78
060014419271,1543.3600000000001,65.72
060014419272,2088.2000000000003,274.54
060014420001,NA,NA
060014420002,2121.06,NA
060014421001,2121.06,NA
060014421002,2121.06,NA
060014422001,1603.78,684.76
060014422002,2121.06,NA
060014422003,2121.06,NA
060014422004,1535.94,950.82
060014423011,2121.06,NA
060014423012,1417.22,128.26000000000002
060014423013,1700.24,421.88
060014423021,1445.8400000000001,139.92000000000002
060014423022,1193.5600000000002,157.94
060014423023,1313.3400000000001,238.5
060014424001,1771.26,159
060014424002,2121.06,NA
060014424003,2121.06,NA
060014424004,1136.3200000000002,86.92
060014425001,1485.0600000000002,108.12
060014425002,1930.26,132.5
060014425003,1268.8200000000002,251.22
060014425004,1870.9,93.28
060014426011,1590,418.70000000000005
060014426012,1818.96,449.44
060014426021,1380.1200000000001,82.68
060014426022,1867.72,103.88000000000001
060014427001,1634.52,787.58
060014427002,1459.6200000000001,71.02000000000001
